company_name,company_name_norm,corp_code,stock_code,match_confidence,match_method,violation_year,listed_status,source
이화전기공업(주),이화전기공업,00145738,024810,high,dart_exact,2021,기타,fss_source2
(주)국보,국보,00104519,001140,high,dart_exact,2019,기타,fss_source2
(주)볼빅,볼빅,00756163,206950,high,dart_exact,,기타,fss_source2
이킴㈜,이킴,00874894,,high,dart_exact,2015,기타,fss_source2
㈜스포츠서울,스포츠서울,00298687,039670,high,dart_exact,2017,기타,fss_source2
웰바이오텍㈜,웰바이오텍,00141273,010600,high,dart_exact,2019,유가증권시장,fss_source2
㈜동성화인텍,동성화인텍,00231105,033500,high,dart_exact,2022,코스닥시장,fss_source2
㈜에스디엠,에스디엠,01293087,,high,dart_exact,2019,기타,fss_source2
모델솔루션㈜,모델솔루션,00657783,417970,high,dart_exact,2022,코스닥시장,fss_source2
에스케이에코플랜트㈜,에스케이에코플랜트,00131799,,high,dart_exact,,기타,fss_source2
일양약품㈜,일양약품,00146454,007570,high,dart_exact,,유가증권시장,fss_source2
㈜신기테크,신기테크,00874061,,high,dart_exact,2020,기타,fss_source2
㈜세진,세진,00474870,,high,dart_exact,2020,기타,fss_source2
㈜숲(舊 ㈜아프리카티비),숲,,,unresolved,unresolved,2021,코스닥시장,fss_source2
㈜아스트,아스트,00409681,067390,high,dart_exact,,코스닥시장,fss_source2
STX마린서비스,STX마린서비스,00884633,,high,dart_exact,2022,기타,fss_source2
㈜STX,STX,00138297,011810,high,dart_exact,2022,유가증권시장,fss_source2
㈜라온홀딩스,라온홀딩스,01368992,,high,dart_exact,2021,기타,fss_source2
파나케이아㈜,파나케이아,00353018,058530,high,dart_exact,2018,기타,fss_source2
㈜세토피아,세토피아,01091382,222810,high,dart_exact,2019,코스닥시장,fss_source2
㈜에코바이브,에코바이브,00108065,015540,high,dart_exact,,기타,fss_source2
㈜웨이브일렉트로닉스,웨이브일렉트로닉스,,,unresolved,unresolved,2025,,sfc_source1
이트론㈜,이트론,00480756,096040,high,dart_exact,2019,코스닥시장,fss_source2
(주)아크솔루션스,아크솔루션스,01036367,203690,high,dart_exact,2020,코스닥시장,fss_source2
(주)경남은행,경남은행,00101363,,high,dart_exact,2021,기타,fss_source2
㈜본느,본느,01119217,242420,high,dart_exact,2022,코스닥시장,fss_source2
우양에이치씨㈜,우양에이치씨,00450931,101970,high,dart_exact,,기타,fss_source2
㈜이렘,이렘,00116426,009730,high,dart_exact,,코스닥시장,fss_source2
대한토지신탁㈜,대한토지신탁,00247540,,high,dart_exact,,기타,fss_source2
㈜오리엔트바이오,오리엔트바이오,00141626,002630,high,dart_exact,2019,유가증권시장,fss_source2
디아이동일㈜,디아이동일,00118345,001530,high,dart_exact,2015,유가증권시장,fss_source2
㈜비덴트,비덴트,00693651,121800,high,dart_exact,2020,코스닥시장,fss_source2
㈜카카오모빌리티,카카오모빌리티,01250666,,high,dart_exact,2020,기타,fss_source2
㈜덕암테크,덕암테크,01467789,,high,dart_exact,2020,기타,fss_source2
라헨느리조트㈜,라헨느리조트,00573843,,high,dart_exact,2017,기타,fss_source2
럭슬㈜,럭슬,00264787,033600,high,dart_exact,2018,코스닥시장,fss_source2
㈜티와이엠,티와이엠,,,unresolved,unresolved,2022,유가증권시장,fss_source2
시큐레터㈜,시큐레터,01579570,418250,high,dart_exact,,코스닥시장,fss_source2
㈜씨앗,씨앗,00762377,103660,high,dart_exact,2014,기타,fss_source2
㈜루트로닉,루트로닉,00549925,085370,high,dart_exact,2018,기타,fss_source2
현대중공업터보기계㈜,현대중공업터보기계,01135349,,high,dart_exact,2017,기타,fss_source2
성안합섬㈜,성안합섬,00301617,,high,dart_exact,2016,기타,fss_source2
오스템임플란트㈜,오스템임플란트,00341916,048260,high,dart_exact,,기타,fss_source2
㈜뉴메디팜,뉴메디팜,01253900,,high,dart_exact,2017,기타,fss_source2
에어부산㈜,에어부산,00651901,298690,high,dart_exact,,유가증권시장,fss_source2
아시아나에어포트㈜,아시아나에어포트,00138783,,high,dart_exact,2015,기타,fss_source2
아시아나아이디티㈜,아시아나아이디티,,,unresolved,unresolved,2015,유가증권시장,fss_source2
금호고속㈜,금호고속,00901930,,high,dart_exact,2015,기타,fss_source2
아시아나항공㈜,아시아나항공,00138792,020560,high,dart_exact,,유가증권시장,fss_source2
㈜디엘팜,디엘팜,01013083,,high,dart_exact,,기타,fss_source2
제이더블유바이오사이언스㈜,제이더블유바이오사이언스,01151046,,high,dart_exact,2016,기타,fss_source2
한솔아이원스㈜,한솔아이원스,00625942,114810,high,dart_exact,2013,코스닥시장,fss_source2
에스비더블유생명과학㈜,에스비더블유생명과학,,,unresolved,unresolved,2018,코스닥시장,fss_source2
㈜지란지교시큐리티,지란지교시큐리티,01090727,,high,dart_exact,,코스닥시장,fss_source2
㈜피노텍,피노텍,00990262,150440,high,dart_exact,2018,기타,fss_source2
계양전기㈜,계양전기,00102618,012200,high,dart_exact,2016,유가증권시장,fss_source2
㈜씨엔플러스,씨엔플러스,00660033,115530,high,dart_exact,,코스닥시장,fss_source2
두산에너빌리티㈜,두산에너빌리티,00159616,034020,high,dart_exact,,유가증권시장,fss_source2
에스케이엔펄스㈜,에스케이엔펄스,00307189,057500,high,dart_exact,2018,기타,fss_source2
㈜팬택씨앤아이엔지니어링,팬택씨앤아이엔지니어링,01615164,,high,dart_exact,2019,기타,fss_source2
㈜아하,아하,00677334,102950,high,dart_exact,,기타,fss_source2
유네코㈜,유네코,00127699,064510,high,dart_exact,,기타,fss_source2
퀀타피아㈜,퀀타피아,00501970,078940,high,dart_exact,,코스닥시장,fss_source2
㈜광림,광림,01381939,,high,dart_exact,,코스닥시장,fss_source2
㈜한컴프론티스,한컴프론티스,01368725,,high,dart_exact,,기타,fss_source2
도부마스크㈜,도부마스크,,,unresolved,unresolved,2017,기타,fss_source2
㈜디에이테크놀러지,디에이테크놀러지,,,unresolved,unresolved,,코스닥시장,fss_source2
㈜메디포럼,메디포럼,01179079,,high,dart_exact,2018,기타,fss_source2
현대약품㈜,현대약품,00164706,004310,high,dart_exact,,유가증권시장,fss_source2
㈜엠비아이,엠비아이,01055326,,high,dart_exact,2020,기타,fss_source2
㈜현담,현담,01444672,,high,dart_exact,2020,기타,fss_source2
㈜OOO,OOO,,,unresolved,unresolved,2025,KOSPI,sfc_source1
OOOOOOOO㈜,OOOOOOOO,,,unresolved,unresolved,2024,,sfc_source1
OOOO㈜,OOOO,,,unresolved,unresolved,2025,,sfc_source1
OOOOOOOOO㈜,OOOOOOOOO,,,unresolved,unresolved,2024,,sfc_source1
에스디엠㈜,에스디엠,01293087,,high,dart_exact,2025,,sfc_source1
㈜OOOOO,OOOOO,,,unresolved,unresolved,2019,,sfc_source1
OOOOO㈜,OOOOO,,,unresolved,unresolved,2025,,sfc_source1
㈜숲,숲,,,unresolved,unresolved,2024,KOSDAQ,sfc_source1
㈜OO,OO,00399694,067160,medium,sonnet,2022,,sfc_source1
코오롱생명과학㈜,코오롱생명과학,00525642,102940,high,dart_exact,2025,KOSDAQ,sfc_source1
㈜OOOOOO,OOOOOO,,,unresolved,unresolved,2024,,sfc_source1
㈜OOOO,OOOO,,,unresolved,unresolved,2025,,sfc_source1
일정실업㈜,일정실업,00146542,008500,high,dart_exact,2024,,sfc_source1
㈜파인켐텍,파인켐텍,01140484,,high,dart_exact,2025,,sfc_source1
㈜세코닉스,세코닉스,00351630,053450,high,dart_exact,2024,KOSPI,sfc_source1
