company_name_norm,corp_code,violation_year,year,year_offset,violation_type,source,fs_div,accounts_missing,M_score,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA
이화전기공업,00145738,2021,2021,0,,fss_source2,CFS,"depreciation,depreciation(prior)",-2.0144,1.1676,0.7684,1.0285,1.2532,,1.0332,1.1380,0.0774
이화전기공업,00145738,2021,2020,-1,,fss_source2,CFS,"depreciation,depreciation(prior)",-3.2203,1.1795,1.5957,1.1307,0.9375,,1.1415,3.4782,-0.0571
이화전기공업,00145738,2021,2019,-2,,fss_source2,OFS,"depreciation,depreciation(prior)",-2.7592,0.6681,0.7444,1.5662,1.3520,,0.7177,1.0413,-0.0645
국보,00104519,2019,2019,0,,fss_source2,CFS,"depreciation,depreciation(prior)",-2.9164,0.9950,0.2536,0.7018,1.2451,,1.6869,1.1026,0.0279
국보,00104519,2019,2018,-1,,fss_source2,CFS,"depreciation,depreciation(prior)",-1.9692,0.7919,1.4972,1.9683,0.9143,,0.9889,0.8894,0.0431
국보,00104519,2019,2017,-2,,fss_source2,CFS,"depreciation,depreciation(prior)",-2.7029,0.8958,1.1722,1.0932,0.8961,,1.4587,0.9471,0.0029
스포츠서울,00298687,2017,2017,0,liability_suppression,fss_source2,CFS,,-1.0265,2.3114,0.4976,1.0681,1.0403,1.0329,0.6559,0.7327,0.0638
스포츠서울,00298687,2017,2016,-1,liability_suppression,fss_source2,CFS,,-2.4764,0.6238,1.2818,2.8088,0.9637,1.3736,0.8750,0.6415,-0.1451
스포츠서울,00298687,2017,2015,-2,liability_suppression,fss_source2,CFS,"current_assets,current_assets(prior),current_liabilities,current_liabilities(prior)",,0.2533,1.4412,,3.0828,0.2414,1.8629,,-0.2846
웰바이오텍,00141273,2019,2019,0,revenue_fabrication,fss_source2,CFS,"total_assets,total_assets(prior),depreciation,depreciation(prior),net_income",,0.9919,0.4225,,1.1337,,1.4989,,
웰바이오텍,00141273,2019,2018,-1,revenue_fabrication,fss_source2,CFS,"total_assets,total_assets(prior),depreciation,depreciation(prior)",,1.4289,0.8610,,1.0445,,1.3546,,
웰바이오텍,00141273,2019,2017,-2,revenue_fabrication,fss_source2,CFS,"depreciation,depreciation(prior)",-0.9402,1.3981,2.3626,3.9542,0.8299,,1.1465,1.5915,-0.0543
동성화인텍,00231105,2022,2022,0,revenue_fabrication,fss_source2,CFS,"depreciation,depreciation(prior)",-2.3063,0.7376,1.7242,0.9597,1.1893,,0.7423,1.0961,-0.0038
동성화인텍,00231105,2022,2021,-1,revenue_fabrication,fss_source2,CFS,"depreciation,depreciation(prior)",-1.1626,2.0471,1.1344,0.7708,0.9409,,0.7819,1.0097,0.1088
동성화인텍,00231105,2022,2020,-2,revenue_fabrication,fss_source2,CFS,"depreciation,depreciation(prior)",-3.4300,0.4739,1.0991,0.8678,1.5319,,1.0614,1.1091,-0.1663
모델솔루션,00657783,2022,2022,0,revenue_fabrication,fss_source2,CFS,"depreciation,depreciation(prior)",-1.0527,2.2760,1.0084,0.8142,1.1031,,1.1933,0.6407,0.0562
STX,00138297,2022,2022,0,liability_suppression,fss_source2,CFS,"depreciation,depreciation(prior)",-1.9084,1.1009,0.9899,0.8238,1.2842,,0.8338,1.0848,0.0889
STX,00138297,2022,2021,-1,liability_suppression,fss_source2,CFS,"depreciation,depreciation(prior)",-2.6118,1.3156,1.0095,0.5908,0.9487,,1.1943,0.9786,-0.0160
STX,00138297,2022,2020,-2,liability_suppression,fss_source2,CFS,"depreciation,depreciation(prior)",-2.9755,1.5485,1.0049,1.1439,0.6665,,1.4003,0.9564,-0.1269
파나케이아,00353018,2018,2018,0,asset_inflation,fss_source2,CFS,"depreciation,depreciation(prior)",-4.1896,0.4776,0.8009,0.8223,0.7311,,1.3318,1.1066,-0.1294
파나케이아,00353018,2018,2017,-1,asset_inflation,fss_source2,CFS,"depreciation,depreciation(prior)",-1.7689,0.9368,2.2870,0.8968,1.6170,,1.1631,1.3441,-0.0349
파나케이아,00353018,2018,2016,-2,asset_inflation,fss_source2,CFS,"depreciation,depreciation(prior)",-0.4055,1.2003,1.1753,0.8078,2.5684,,0.7536,1.1839,0.1302
세토피아,01091382,2019,2019,0,asset_inflation,fss_source2,CFS,,-6.5229,0.6637,0.8823,0.6989,0.9769,0.0702,1.2019,1.6269,-0.6801
세토피아,01091382,2019,2018,-1,asset_inflation,fss_source2,OFS,"depreciation,depreciation(prior)",-2.5541,1.7410,0.8138,2.4677,0.8924,,2.1260,1.2333,-0.1644
세토피아,01091382,2019,2017,-2,asset_inflation,fss_source2,OFS,,-4.1605,0.6884,0.5978,0.7821,1.0099,0.5795,0.8861,1.0660,-0.2248
이트론,00480756,2019,2019,0,,fss_source2,CFS,"depreciation,depreciation(prior)",-2.3757,1.1642,0.6354,0.8084,3.4213,,0.2969,7.3671,0.0298
이트론,00480756,2019,2018,-1,,fss_source2,OFS,"depreciation,depreciation(prior)",-0.9092,0.7118,2.0938,8.1929,0.5443,,5.3448,0.6202,-0.1075
이트론,00480756,2019,2017,-2,,fss_source2,OFS,"depreciation,depreciation(prior)",-3.2163,1.2491,0.5213,0.4892,0.6444,,0.6824,0.6419,-0.0525
아크솔루션스,01036367,2020,2020,0,revenue_fabrication,fss_source2,CFS,"depreciation,depreciation(prior)",-1.5414,1.7449,1.8543,1.7311,2.4824,,0.4531,5.4863,-0.0700
아크솔루션스,01036367,2020,2019,-1,revenue_fabrication,fss_source2,CFS,"depreciation,depreciation(prior)",-3.2596,1.0671,0.5118,0.8553,1.5101,,0.7085,2.5596,-0.0866
아크솔루션스,01036367,2020,2018,-2,revenue_fabrication,fss_source2,CFS,"depreciation,depreciation(prior)",-3.5541,0.6111,1.7383,0.7727,0.7190,,1.1208,1.2169,-0.1190
오리엔트바이오,00141626,2019,2019,0,,fss_source2,CFS,,-3.8504,0.4237,0.6501,0.6856,1.2325,0.6552,1.0003,0.3563,-0.1938
오리엔트바이오,00141626,2019,2018,-1,,fss_source2,CFS,,-3.0890,1.0177,0.6236,0.8357,1.1118,1.0266,1.0669,1.3079,-0.0750
오리엔트바이오,00141626,2019,2017,-2,,fss_source2,CFS,,-2.5807,0.9315,1.9942,0.8834,1.0378,0.8277,1.0652,0.9110,-0.1169
비덴트,00693651,2020,2020,0,,fss_source2,CFS,"depreciation,depreciation(prior)",-2.2678,0.8146,2.1634,0.9493,0.5736,,1.7312,0.5203,0.0541
비덴트,00693651,2020,2019,-1,,fss_source2,CFS,"depreciation,depreciation(prior)",-3.5381,0.3054,1.0646,1.1067,0.8696,,1.4162,1.3469,-0.0171
비덴트,00693651,2020,2018,-2,,fss_source2,CFS,"depreciation,depreciation(prior)",6.2195,9.6576,0.7513,1.0931,0.8972,,0.5726,1.3302,0.2285
럭슬,00264787,2018,2018,0,,fss_source2,OFS,"depreciation,depreciation(prior)",2.6128,5.8161,1.3366,0.5517,0.7820,,2.5040,1.1321,0.2729
럭슬,00264787,2018,2017,-1,,fss_source2,OFS,"depreciation,depreciation(prior)",-3.4118,1.4862,0.5552,1.0037,0.6572,,1.1678,1.1969,-0.1350
럭슬,00264787,2018,2016,-2,,fss_source2,OFS,"depreciation,depreciation(prior)",-3.5888,1.3251,0.3441,1.0752,0.8035,,1.1081,1.0959,-0.1607
루트로닉,00549925,2018,2018,0,,fss_source2,CFS,"depreciation,depreciation(prior)",-2.6943,1.0153,1.0503,1.1560,1.0743,,1.1384,1.2303,-0.0364
루트로닉,00549925,2018,2017,-1,,fss_source2,CFS,"depreciation,depreciation(prior)",-2.5347,1.1166,1.0698,1.0621,1.0151,,1.1589,1.1017,-0.0132
루트로닉,00549925,2018,2016,-2,,fss_source2,CFS,"depreciation,depreciation(prior)",-2.8628,0.6305,0.9300,0.6924,1.1721,,1.0743,0.6964,-0.0014
피노텍,00990262,2018,2018,0,,fss_source2,CFS,"depreciation,depreciation(prior)",-3.3486,0.5402,0.6671,0.8411,1.9551,,0.4891,0.8399,-0.2314
계양전기,00102618,2016,2016,0,,fss_source2,CFS,,-2.4609,1.0376,0.9389,0.7332,1.1577,0.9088,0.9515,0.9547,-0.0061
계양전기,00102618,2016,2015,-1,,fss_source2,CFS,,-2.6727,0.9716,0.9828,1.1094,1.0246,1.1065,0.9652,1.0888,-0.0455
에스케이엔펄스,00307189,2018,2018,0,,fss_source2,CFS,"depreciation,depreciation(prior)",-2.5227,0.9842,0.9323,0.9363,1.0571,,1.0713,0.6542,-0.0007
에스케이엔펄스,00307189,2018,2017,-1,,fss_source2,CFS,"depreciation,depreciation(prior)",-2.4881,0.4801,1.0430,1.6403,1.4045,,0.8651,0.7280,-0.0362
에스케이엔펄스,00307189,2018,2016,-2,,fss_source2,CFS,"depreciation,depreciation(prior)",-4.5593,0.7749,1.0219,0.9976,1.0886,,0.9302,0.8408,-0.4084
OO,00399694,2022,2022,0,revenue_fabrication,sfc_source1,CFS,"cogs,cogs(prior),depreciation,depreciation(prior)",,1.0107,,0.8277,1.1098,,,0.9889,-0.0890
OO,00399694,2022,2021,-1,revenue_fabrication,sfc_source1,CFS,"cogs,cogs(prior),depreciation,depreciation(prior)",,0.8584,,0.7451,1.3356,,,1.0398,-0.1534
OO,00399694,2022,2020,-2,revenue_fabrication,sfc_source1,CFS,"cogs,cogs(prior),depreciation,depreciation(prior)",,1.1175,,0.8242,1.1726,,,1.0574,-0.1235
코오롱생명과학,00525642,2025,2024,-1,asset_inflation,sfc_source1,CFS,"depreciation,depreciation(prior)",-2.7901,1.1413,0.9527,1.8418,1.2948,,0.8241,1.1603,-0.1883
코오롱생명과학,00525642,2025,2023,-2,asset_inflation,sfc_source1,CFS,,-2.0545,1.1356,2.3082,1.0599,0.7714,1.0415,1.3719,1.1910,-0.0189
일정실업,00146542,2024,2024,0,asset_inflation,sfc_source1,CFS,"depreciation,depreciation(prior)",-2.3247,0.8156,0.6946,0.9056,1.3507,,0.6863,0.9050,0.0516
일정실업,00146542,2024,2023,-1,asset_inflation,sfc_source1,CFS,"depreciation,depreciation(prior)",-3.6005,0.9532,-0.2437,1.0302,1.0292,,0.7907,1.0784,-0.0757
일정실업,00146542,2024,2022,-2,asset_inflation,sfc_source1,CFS,"depreciation,depreciation(prior)",-1.2664,1.1542,2.6144,1.7040,1.0371,,1.0215,1.2882,0.0245
세코닉스,00351630,2024,2024,0,asset_inflation,sfc_source1,CFS,"depreciation,depreciation(prior)",-3.3433,0.9363,0.8705,1.0729,0.9211,,1.2129,0.8902,-0.1239
세코닉스,00351630,2024,2023,-1,asset_inflation,sfc_source1,CFS,"depreciation,depreciation(prior)",-2.9122,1.0504,0.8434,0.8881,1.0474,,0.9984,0.9479,-0.0631
세코닉스,00351630,2024,2022,-2,asset_inflation,sfc_source1,CFS,"depreciation,depreciation(prior)",-3.1400,0.9151,1.0997,0.8785,1.0835,,1.0146,0.9194,-0.1216
